ARISHTAS & ASAVAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Loose Basic Price,Loose MRP
Yasada Bhasmam Capsule*,FGB125,30No,47.6,50,1 no.,1.59,1.67
,,,,,,,
CHURNAM,,,,,,,
Product Name,Product Code,Quantity,Basic Price,Price (Selling),,,
Amritameharichurnam,FGC301,10 g,20.5,23,,,
Amritameharichurnam,FGC344,50 g,75.85,85,,,
Amritameharichurnam,FGC360,150 g,223.2,250,,,
Aparajita Dhupachurnam,FGC355,50 g,61.9,65,,,
Ashtachurnam*,FGC304,10 g,21.9,23,,,
Ashtachurnam*,FGC345,50 g,85.7,90,,,
Aswagandhachurnam,FGC364,75 g,107.1,120,,,
Avalgujabijadichurnam*,FGC302,10g,21.9,23,,,
Avipathichurnam*,FGC303,10 g,21.9,23,,,
Avipathichurnam*,FGC359,50 g,85.7,90,,,
Brihatvaiswanarachurnam,FGC337,10 g,20.5,23,,,
Cheriya Karpuradichurnam*,FGC309,10 g,21.9,23,,,
Dadimashtakachurnam,FGC313,10 g,21.9,23,,,
Dadimashtakachurnam,FGC361,50 g,104.75,110,,,
Dasanakanthichurnam,FGC316,10 g,31.25,35,,,
Dasanakanthichurnam,FGC347,50 g,120.5,135,,,
Dipyakadichurnam*,FGC317,10 g,38.05,40,,,
Oushadhakkkanji churnam,FGC357,100g,125,140,,,
Eladi Churnam*,FGC306,10g,26.65,28,,,
Eladi Churnam*,FGC363,50g,119,125,,,
Guggulupanachalapachurnam*,FGC311,10g,21.9,23,,,
Hinguvachadi Churnam*,FGC341,10g,21.9,23,,,
Hinguvachadi Churnam*,FGC362,50g,104.75,110,,,
Hutabhugadi Churnam*,FGC342,10g,21.9,23,,,
Induppurnam,FGC305,10g,21.9,23,,,
Jatayamadi Churnam*,FGC201,100g,123.8,130,,,
Kachuradi Churnam*,FGC307,10g,90.45,95,,,
Kolakulathadi Churnam*,FGC351,100g,90.45,95,,,
Kottamchukkadi Churnam*,FGC202,100g,85.7,90,,,
Lakshadi Churnam,FGC335,10g,25,28,,,
Nasika Churnam*,FGC319,10g,33.3,35,,,
Navyasa Churnam*,FGC318,10g,42.85,45,,,
Nimbaharidradi Churnam*,FGC320,10g,21.9,23,,,
Nimbapatradi Churnam,FGC321,10g,20.5,23,,,
Panchagandha Churnam,FGC323,10g,20.5,23,,,
Panchakola Churnam*,FGC322,10g,21.9,23,,,
Pathadi Churnam*,FGC325,10g,21.9,23,,,
Pitaka Churnam*,FGC326,10g,21.9,23,,,
Pushyanuga Churnam*,FGC327,10g,21.9,23,,,
Rajanyadi Churnam*,FGC333,10g,21.9,23,,,
Rasnadi Churnam*,FGC334,10g,21.9,23,,,
Rasnadi Churnam*,FGC348,50g,85.7,90,,,
Saraswata Churnam*,FGC340,10g,21.9,23,,,
Sarpgandhadi Churnam,FGC338,10g,31.25,35,,,
Shadangamkwathachurnam*,FGC356,100g,90.45,95,,,
Shaddharna Churnam*,FGC343,10g,33.3,35,,,
Sitopaladi churnam*,FGC352,30g,47.6,50,,,
Talisapatradi Churnam*,FGC314,10g,21.9,23,,,
Talisapatradi Churnam*,FGC358,50g,85.7,90,,,
Thriphaladi Churnam*,FGC315,10g,21.9,23,,,
Thriphaladi Churnam*,FGC346,50g,80.95,85,,,
Valiya Karpuradi Churnam*,FGC310,10g,21.9,23,,,
Vidangadi churnam*,FGC336,10g,26.65,28,,,
Vidangatanduladi Churnam*,FGC350,50g,85.7,90,,,
Yavanyadi Churnam*,FGC331,10g,21.9,23,,,
Yogaraja Churnam*,FGC332,10g,21.9,23,,,
,,,,,,,
GHRITAM OR MEDICATED GEE,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,,,
Amirthaprasa Ghritam*,FGG149,200g,161.9,170,,,
AsokaGhritam*,FGG150,200g,209.5,220,,,
Aswagandhadi Ghritam*,FGG161,200g,980.95,1030,,,
Brahmi Ghritam*,FGG127,150g,176.15,185,,,
Brihachagaladi Ghritam*,FGG152,200g,504.75,530,,,
Changeryadi Ghritam*,FGG108,150g,219,230,,,
Dadimadi Ghritam*,FGG110,150g,176.15,185,,,
Dehaposhana Yamakam,FGG116,150g,250,280,,,
Dhanwantaranghritam*,FGG117,150g,200,210,,,
Dhathryadi Ghritam*,FGG151,200g,228.55,240,,,
Guggulutiktaghritam*,FGG106,150g,252.35,265,,,
Indukanta Ghritam*,FGG102,150g,195.2,205,,,
Jatyadi Ghritam*,FGG109,150g,176.15,185,,,
Kalyanka Ghritam*,FGG104,150g,176.15,185,,,
Kantakari Ghritam*,FGG103,150g,190.45,200,,,
Mahakalyanaka Ghritam*,FGG128,150g,242.85,255,,,
Mahapanchagavya Ghritam*,FGG130,150g,228.55,240,,,
Mahasneham*,FGG132,150g,242.85,255,,,
Mahatiktaka Lepam (LamiTube),FGG154,20g,75.85,85,,,
Mahatiktakaghritam*,FGG129,150g,204.75,215,,,
Mahatripala Ghritam*,FGG153,200g,228.55,240,,,
Misrakasneham*,FGG134,150g,200,210,,,
Naladadi Ghritam*,FGG118,150g,195.2,205,,,
Nirgundyadi Ghritam,FGG120,150g,205.35,230,,,
Palandava Ghritam,FGG124,150g,214.25,240,,,
Panchagavya Ghritam*,FGG121,150g,180.95,190,,,
Patoladi Ghritam*,FGG122,150g,176.15,185,,,
Phalasarpsis*,FGG126,150g,190.45,200,,,
Rasnadi Ghritam,FGG135,150g,233.3,245,,,
Saraswataghritam*,FGG145,150g,176.15,185,,,
Satadhuta Ghritam (Lami Tube),FGG159,20g,89.25,100,,,
SatavaryadiGhritam*,FGG157,200g,185.7,195,,,
Sukhaprasavadighritam,FGG147,150g,209.8,235,,,
SukumaraGhritam*,FGG146,150g,266.65,280,,,
SuranadiGhritam,FGG148,150g,330.35,370,,,
TiktaGhritam*,FGG111,150g,190.45,200,,,
TripalaGhritam*,FGG114,150g,166.65,175,,,
VaranadiGhritam*,FGG138,150g,161.9,170,,,
Vasyamnyantakaghritam*,FGG137,150g,390.45,410,,,
VidaryadiGhritam*,FGG139,150g,185.7,195,,,
Vrishaghritam*,FGG160,150g,166.65,175,,,
,,,,,,,
KASHAYAM,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,,,
Amritotharamkashayam*,FGK038,200ml,119,125,,,
Aragvadhadikashayam*,FGK045,200ml,128.55,135,,,
Ardhavilvamkashayam*,FGK042,200ml,128.55,135,,,
Ashtavargamkashayam*,FGK001,200ml,133.3,140,,,
Balaguluchiyadikashayam*,FGK015,200ml,104.75,110,,,
Balajirakadikashayam*,FGK016,200ml,114.25,120,,,
Balapunarnavadikashayam*,FGK017,200ml,119,125,,,
Bhadradarvadiyashayam*,FGK019,200ml,128.55,135,,,
Bhadradi Kashayam (Garbharakshakashayam),FGK005,200ml,125,140,,,
Bramihndradikashayam*,FGK056,200ml,157.1,165,,,
Brihatyadikashayam*,FGK018,200ml,119,125,,,
Chandanosiradikashayam*,FGK048,200ml,176.15,185,,,
Chandrasuradikashayam,FGK007,200ml,125,140,,,
Cheriya Rasnadi Kashayam*,FGK022,200ml,209.5,220,,,
Chiruvilvadikashayam,FGK008,200ml,171.4,180,,,
Dasamulakututrayadi Kashayam,FGK009,200ml,147.6,155,,,
Dasamulkashayam*,FGK061,200ml,133.3,140,,,
Dasamulapanchakoladi Kashayam*,FGK052,200ml,157.1,165,,,
Dhanadanayanadi Kashayam*,FGK054,200ml,171.4,180,,,
DhanvantararamKashayam*,FGK011,200ml,161.9,170,,,
Drakshadi Kashayam*,FGK010,200ml,171.4,180,,,
Dusparsakadikashayam*,FGK053,200ml,171.4,180,,,
Elakanadi Kashayam*,FGK078,200ml,176.15,185,,,
Gandharvastadhikashayam*,FGK039,200ml,119,125,,,
GulguluthikthamKashayam*,FGK006,200ml,209.5,220,,,
Guluchyadi Kashayam*,FGK062,200ml,195.2,205,,,
IndukantamKashayam*,FGK002,200ml,133.3,140,,,
Jivantyadi Kashayam*,FGK049,200ml,176.15,185,,,
Kalasakadikashayam,FGK004,200ml,107.1,120,,,
Katakakhadiradikashayam*,FGK003,200ml,114.25,120,,,
KhadiradaskamKashayam*,FGK074,200ml,171.4,180,,,
KhudaharamKashayam,FGK072,200ml,165.15,185,,,
KokilakshamKashayam*,FGK063,200ml,114.25,120,,,
Kulathadi Kashayam,FGK059,200ml,125,140,,,
Lasunairandadikashayam*,FGK024,200ml,128.55,135,,,
MahatiktamKashayam*,FGK020,200ml,223.8,235,,,
Manjishthadikwathambrihatj*,FGK060,200ml,176.15,185,,,
Mulakadi Kashayam,FGK021,200ml,205.35,230,,,
Musalikhadiradikashayam*,FGK041,200ml,104.75,110,,,
Mustadi Marma Kashayam,FGK067,200ml,183,205,,,
Nayopayam Kashayam*,FGK055,200ml,166.65,175,,,
Nimbadi Kashayam*,FGK040,200ml,128.55,135,,,
Nimbamritadi panchtiktam Kashayam*,FGK064,200ml,171.4,180,,,
Nisakathakadi Kashayam*,FGK070,200ml,104.75,110,,,
Nisothamadi Kashayam*,FGK075,200ml,157.1,165,,,
Pachanamritham Kashayam*,FGK076,200ml,176.15,185,,,
PathyakshadhathryadiKashayam*,FGK012,200ml,133.3,140,,,
Patolaturorhinyadi Kashayam*,FGK013,200ml,200,210,,,
